Sample_ID,Sample,Depth,Site,Treatment
MG1,MGr1A,0_10,Migneint,NAT
MG3,MGr1B,0_10,Migneint,NAT
MG5,MGr1C,0_10,Migneint,NAT
MG7,MGr2D,0_10,Migneint,REST
MG9,MGr2E,0_10,Migneint,REST
MG11,MGr2F,0_10,Migneint,REST
MG13,MGr3G,0_10,Migneint,DAM
MG15,MGr3H,0_10,Migneint,DAM
MG17,MGr3I,0_10,Migneint,DAM
CR1,CRr1A,0_10,Crocach,NAT
CR3,CRr1B,0_10,Crocach,NAT
CR5,CRr1C,0_10,Crocach,NAT
CR7,CRr2D,0_10,Crocach,REST
CR9,CRr2E,0_10,Crocach,REST
CR11,CRr2F,0_10,Crocach,REST
CR13,CRr3G,0_10,Crocach,DAM
CR15,CRr3H,0_10,Crocach,DAM
CR17,CRr3I,0_10,Crocach,DAM
SE1,SEr2D,0_10,Stean,REST
SE3,SEr2E,0_10,Stean,REST
SE5,SEr2F,0_10,Stean,REST
SE7,SEr3G,0_10,Stean,DAM
SE9,SEr3H,0_10,Stean,DAM
SE11,SEr3I,0_10,Stean,DAM
MH1,MHr1A,0_10,Moors_House,NAT
MH3,MHr1B,0_10,Moors_House,NAT
MH5,MHr1C,0_10,Moors_House,NAT
MH7,MHr2D,0_10,Moors_House,REST
MH9,MHr2E,0_10,Moors_House,REST
MH11,MHr2F,0_10,Moors_House,REST
MH13,MHr3G,0_10,Moors_House,DAM
MH15,MHr3H,0_10,Moors_House,DAM
MH17,MHr3I,0_10,Moors_House,DAM
LA13,LABRr1A,0_10,Langwell,NAT
LA15,LABRr1B,0_10,Langwell,NAT
LA17,LABRr1C,0_10,Langwell,NAT
LA1,LASYr2D,0_10,Langwell,REST
LA3,LASYr2E,0_10,Langwell,REST
LA5,LASYr2F,0_10,Langwell,REST
LA7,LASAr3G,0_10,Langwell,DAM
LA8,LASAr3H,0_10,Langwell,DAM
LA9,LASAr3I,0_10,Langwell,DAM
BO1,BOr1A,0_10,Bowness,NAT
BO3,BOr1B,0_10,Bowness,NAT
BO5,BOr1C,0_10,Bowness,NAT
BO7,BOr2D,0_10,Bowness,REST
BO9,BOr2E,0_10,Bowness,REST
BO11,BOr2F,0_10,Bowness,REST
BO13,BOr3G,0_10,Bowness,DAM
BO15,BOr3H,0_10,Bowness,DAM
BO17,BOr3I,0_10,Bowness,DAM
BA1,BAr1A,0_10,Balmoral,NAT
BA2,BAr1B,0_10,Balmoral,NAT
BA3,BAr1C,0_10,Balmoral,NAT
BA4,BAr2D,0_10,Balmoral,REST
BA5,BAr2E,0_10,Balmoral,REST
BA6,BAr2F,0_10,Balmoral,REST
BA7,BAr3G,0_10,Balmoral,DAM
BA8,BAr3H,0_10,Balmoral,DAM
BA9,BAr3I,0_10,Balmoral,DAM
LA25,LAWAr2D,0_10,Langwell,REST
LA27,LAWAr2E,0_10,Langwell,REST
LA29,LAWAr2F,0_10,Langwell,REST
LA19,LASCr2D,0_10,Langwell,REST
LA21,LASCr2E,0_10,Langwell,REST
LA23,LASCr2F,0_10,Langwell,REST
