Sample,eric,sphag,gram,other 
MGr1A,0,66.18768789,33.81231211,0
MGr1B,0,54.35051883,45.64948117,0
MGr1C,0,32.25944056,67.74055944,0
MGr2D,3.29935788,37.12693185,59.57371027,0
MGr2E,6.992964534,30.49050933,61.24725829,2.072366791
MGr2F,24.8648246,11.70367942,62.22016941,1.94683908
MGr3G,23.745881,3.352599632,72.90151937,0
MGr3H,21.30049348,13.99674916,64.70275737,0
MGr3I,44.11479511,5.835393437,48.71353617,2.7431293
CRr1A,5.882674604,11.78589216,82.33143323,0
CRr1B,10.72933451,18.52483943,70.74582605,0
CRr1C,2.790240098,31.77187797,65.43788193,0
CRr2D,10.8472343,20.77805962,67.99703082,0.555429051
CRr2E,11.04213315,12.923758,76.03410885,0
CRr2F,7.518122381,22.32152871,69.78060427,0.544197976
CRr3G,0.599616009,0,92.49663814,7.463780295
CRr3H,4.894533083,17.83469182,77.2707751,0
CRr3I,2.091815765,4.232274828,92.63377292,1.125007062
BAr1A,52.94220264,2.593619401,44.46417796,0
BAr1B,31.76038383,14.65468287,52.97671409,1.148087841
BAr1C,12.42406895,5.064435801,82.51149524,0
BAr2D,37.08029781,8.882998391,54.03670379,0
BAr2E,14.79263063,14.01474982,71.19261955,0
BAr2F,45.61269419,20.56336114,33.82394466,0
BAr3G,0.672614451,14.73521039,84.59217516,0
BAr3H,0.690290226,1.569576792,97.74013298,0
BAr3I,0,2.232697779,97.76730222,0
BOr1A,6.408426004,18.54211609,75.04945791,0
BOr1B,12.43420962,6.97773279,78.78540282,2.288056808
BOr1C,33.39266494,5.032639839,59.64157297,3.241232831
BOr2D,29.96637824,4.980965306,61.05606797,6.545767879
BOr2E,55.41858325,0.792492757,39.07354682,12.06795276
BOr2F,29.74237694,13.00709209,48.78089528,17.36260814
BOr3G,47.13516596,2.052115201,50.17752978,1.265883482
BOr3H,39.13746032,0,58.83277581,3.45005627
BOr3I,46.59019925,5.21248167,40.9854783,17.59608787
LASYr2D,,,,
LASYr2E,,,,
LASYr2F,,,,
LASAr3G,27.95340511,3.146859589,68.89973531,0
LASAr3H,2.74013075,17.92656681,79.33330244,0
LASAr3I,14.90694309,3.538628816,81.55442809,0
LABRr1A,15.34801406,15.68988975,67.38439422,2.341346229
LABRr1B,1.882498156,21.86232746,76.25517439,0
LABRr1C,2.428730189,27.60164392,69.9696259,0
LASCr2D,1.094737521,14.52147556,84.38378692,0
LASCr2E,10.22289331,18.01086744,71.76623925,0
LASCr2F,0,11.73452029,88.26547971,0
LAWAr2D,,,,
LAWAr2E,,,,
LAWAr2F,,,,
SEr2D,,,,
SEr2E,,,,
SEr2F,,,,
SEr3G,,,,
SEr3H,,,,
SEr3I,,,,
MHr1A,35.73116905,20.88818665,43.3806443,0
MHr1B,48.82734246,19.31355097,31.85910657,0
MHr1C,31.53461436,31.73240244,36.73298321,0
MHr2D,45.33455375,6.174157996,48.49128825,0
MHr2E,67.1475716,1.696611064,29.44332902,5.816218385
MHr2F,40.98814269,1.770688731,57.24116858,0
MHr3G,54.65694322,15.79596426,29.54709251,0
MHr3H,56.58835328,1.377728244,42.03391848,0
MHr3I,42.98873713,2.326247259,54.68501561,0
